Year,Ireland,Australia,Austria,Denmark,France,Germany,Great Britain,Greece,Hungary,Mixed team,Switzerland,United States,Belgium,Bohemia,Canada,Cuba,India,Italy,Luxembourg,Netherlands,Norway,Spain,Sweden,Australasia,Finland,Russian Empire,South Africa,Brazil,Czechoslovakia,Estonia,Japan,New Zealand,Argentina,Haiti,Poland,Portugal,Romania,Uruguay,Yugoslavia,Chile,Egypt,Philippines,Latvia,Mexico,Turkey,Ceylon,Iran,Jamaica,Panama,Peru,Puerto Rico,South Korea,Trinidad and Tobago,Bulgaria,Lebanon,Soviet Union,Venezuela,Bahamas,Iceland,Pakistan,British West Indies,Ethiopia,Ghana,Iraq,Morocco,Republic of China,Singapore,Kenya,Nigeria,Tunisia,Cameroon,Mongolia,Uganda,Colombia,Niger,North Korea,Bermuda,Thailand,Guyana,Tanzania,Zimbabwe,Algeria,China,Chinese Taipei,Dominican Republic,Ivory Coast,Syria,Zambia,Costa Rica,Djibouti,Indonesia,Netherlands Antilles,Senegal,Suriname,Virgin Islands,Croatia,Independent Olympic Participants,Israel,Lithuania,Malaysia,Namibia,Qatar,Slovenia,Unified Team,Armenia,Azerbaijan,Belarus,Burundi,Czech Republic,Ecuador,Georgia,Hong Kong,Kazakhstan,Moldova,Mozambique,Russia,Slovakia,Tonga,Ukraine,Uzbekistan,Barbados,Kuwait,Kyrgyzstan,Macedonia,Saudi Arabia,Sri Lanka,Vietnam,Eritrea,Paraguay,Serbia and Montenegro,United Arab Emirates,Afghanistan,Mauritius,Samoa,Serbia,Sudan,Tajikistan,Togo,Bahrain,Botswana,Cyprus,Gabon,Grenada,Guatemala,Montenegro,Fiji,Jordan,Kosovo,Burkina Faso,North Macedonia,ROC,San Marino,Turkmenistan,Albania,Cape Verde,Côte d'Ivoire,Dominica,Refugee Olympic Team,Saint Lucia,X.2,X.3
1896,NA,8,7,9,4,3,5,2,6,11,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1900,NA,9,16,10,1,7,3,NA,11,4,6,2,5,20,13,12,19,8,14,17,17,14,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1904,NA,12,8,NA,13,2,9,11,5,5,10,1,NA,NA,3,4,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1908,NA,NA,19,16,4,5,1,15,6,NA,NA,2,10,17,7,NA,NA,9,NA,17,8,NA,3,11,13,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1912,NA,NA,18,14,5,6,3,15,10,NA,16,1,13,NA,10,NA,NA,7,NA,19,9,NA,2,12,4,17,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1920,NA,16,NA,10,8,NA,5,19,NA,NA,13,1,3,NA,12,NA,NA,7,19,9,6,17,2,NA,4,NA,11,15,21,14,17,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1924,NA,11,20,12,3,NA,4,NA,13,NA,6,1,10,NA,20,NA,NA,5,NA,9,7,NA,8,NA,2,NA,18,NA,15,17,23,23,16,23,22,23,23,19,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1928,24,19,18,13,7,2,11,NA,9,NA,6,1,29,NA,10,NA,24,5,NA,8,19,24,4,NA,3,NA,23,NA,14,16,15,24,12,30,21,32,NA,24,21,30,17,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1932,16,10,18,20,3,9,8,NA,6,NA,22,1,NA,NA,12,NA,19,2,NA,13,NA,26,4,NA,7,NA,15,NA,17,NA,5,22,11,NA,14,NA,NA,26,NA,NA,NA,25,22,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1936,NA,30,11,23,5,1,10,NA,3,NA,16,2,29,NA,17,NA,20,4,NA,9,18,NA,7,NA,5,NA,25,NA,12,13,8,20,13,NA,22,30,25,NA,25,NA,15,30,24,28,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1948,NA,14,21,10,3,NA,12,NA,4,NA,9,1,15,NA,25,28,22,5,NA,11,19,28,2,NA,6,NA,18,34,8,NA,NA,NA,13,NA,34,26,NA,26,24,NA,16,NA,NA,17,7,28,34,20,32,22,34,32,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1952,34,9,32,15,7,28,18,NA,3,NA,11,1,14,NA,21,NA,26,5,27,29,10,34,4,NA,8,NA,12,24,6,NA,17,24,19,NA,20,40,23,37,21,31,40,NA,NA,34,16,NA,30,13,NA,NA,NA,37,37,40,32,2,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1956,21,3,34,20,11,7,8,35,4,NA,35,2,28,NA,15,NA,24,5,NA,NA,22,NA,6,NA,13,NA,33,24,18,NA,10,16,29,NA,17,NA,9,35,26,27,NA,NA,NA,23,12,NA,14,NA,NA,NA,NA,29,NA,19,NA,1,NA,35,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1960,NA,5,18,13,25,4,12,21,7,NA,24,2,26,NA,32,NA,32,3,NA,28,21,41,16,NA,17,NA,28,39,10,NA,8,14,30,NA,9,32,11,NA,18,NA,30,NA,NA,41,6,NA,27,NA,NA,NA,NA,NA,NA,15,NA,1,41,NA,NA,20,39,21,32,41,32,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1964,35,8,NA,18,21,4,10,NA,6,NA,22,1,20,NA,22,30,24,5,NA,15,NA,NA,17,NA,12,NA,NA,35,9,NA,3,12,30,NA,7,NA,14,35,19,NA,NA,30,NA,35,16,NA,34,NA,NA,NA,NA,27,28,11,NA,2,NA,24,NA,30,NA,24,35,NA,NA,NA,NA,35,35,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1968,NA,8,31,21,6,3,9,41,5,NA,32,1,35,NA,22,30,41,12,NA,16,24,NA,19,NA,23,NA,NA,34,7,NA,4,26,40,NA,10,NA,11,NA,15,NA,NA,NA,NA,14,20,NA,18,38,NA,NA,NA,35,NA,17,NA,2,28,NA,NA,28,NA,24,NA,NA,NA,41,NA,13,NA,27,38,33,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1972,NA,5,30,24,16,2,11,28,7,NA,25,3,28,NA,26,13,42,9,NA,15,20,42,10,NA,13,NA,NA,40,17,NA,4,22,32,NA,6,NA,12,NA,19,NA,NA,NA,NA,32,32,NA,27,42,NA,NA,NA,32,NA,8,32,1,NA,NA,NA,32,NA,40,42,NA,NA,NA,NA,18,42,32,NA,32,23,30,42,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1976,NA,31,36,23,14,1,12,NA,9,NA,19,3,27,NA,26,7,NA,13,NA,28,20,29,11,NA,10,NA,NA,35,16,NA,4,17,NA,NA,5,29,8,NA,15,NA,NA,NA,NA,24,NA,NA,32,20,NA,NA,36,18,25,6,NA,2,33,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,20,36,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1980,31,15,21,16,8,2,9,22,6,NA,19,NA,23,NA,NA,4,23,5,NA,30,NA,20,11,NA,12,NA,NA,17,13,NA,NA,NA,NA,NA,10,NA,7,NA,14,NA,NA,NA,NA,29,NA,NA,NA,34,NA,NA,NA,NA,NA,3,35,1,32,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,32,NA,NA,26,NA,NA,35,28,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1984,33,14,22,27,12,3,11,30,NA,NA,26,1,21,NA,6,NA,NA,5,NA,13,28,20,16,NA,15,NA,NA,19,NA,NA,7,8,NA,NA,NA,23,2,NA,9,NA,33,NA,NA,17,40,NA,NA,28,NA,33,30,10,NA,NA,NA,NA,40,NA,43,25,NA,NA,NA,NA,18,NA,NA,23,30,NA,43,NA,NA,33,NA,NA,NA,33,NA,NA,NA,42,4,43,43,33,33,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1988,NA,14,28,22,8,2,11,45,5,NA,32,3,43,NA,18,NA,NA,9,NA,21,20,24,31,NA,24,NA,NA,23,16,NA,13,17,34,NA,19,28,7,NA,15,35,NA,45,NA,43,26,NA,35,33,NA,35,NA,4,NA,6,NA,1,NA,NA,NA,45,NA,NA,NA,NA,27,NA,NA,12,NA,NA,NA,45,NA,45,NA,NA,NA,45,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,35,45,35,35,35,28,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1992,32,10,41,30,9,3,13,26,8,NA,37,2,44,NA,11,5,NA,12,NA,20,22,6,27,NA,29,NA,41,25,15,34,17,28,54,NA,19,NA,14,NA,NA,NA,NA,54,40,49,23,NA,44,38,NA,49,54,7,NA,18,NA,NA,NA,54,NA,54,NA,33,54,NA,31,NA,NA,21,38,NA,NA,52,NA,54,NA,16,NA,54,NA,NA,NA,34,4,49,NA,NA,NA,NA,NA,NA,24,NA,NA,54,NA,44,44,48,34,54,41,54,52,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
1996,28,7,57,19,5,3,36,16,12,NA,18,1,31,NA,21,8,71,6,NA,15,30,13,29,NA,40,NA,27,25,NA,NA,23,26,54,NA,11,47,14,NA,41,NA,NA,61,61,71,19,NA,43,39,NA,NA,71,10,68,22,NA,NA,NA,61,NA,NA,NA,34,NA,NA,68,NA,NA,38,32,71,NA,71,71,NA,NA,33,NA,47,NA,NA,NA,34,4,61,NA,NA,49,61,49,NA,41,NA,NA,NA,NA,45,NA,71,71,58,55,NA,55,NA,45,61,37,49,17,49,68,49,24,58,71,2,43,61,9,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2000,64,4,32,30,6,5,10,17,13,NA,37,1,55,NA,24,9,71,7,NA,8,19,25,18,NA,31,NA,55,53,NA,47,15,46,57,NA,14,69,11,64,44,71,NA,NA,44,40,26,NA,27,54,NA,NA,NA,12,61,16,NA,NA,NA,34,71,NA,NA,20,NA,NA,58,NA,NA,29,41,NA,50,NA,NA,50,NA,60,NA,47,NA,NA,NA,42,3,58,NA,NA,NA,NA,69,NA,38,NA,NA,NA,NA,49,NA,71,33,NA,NA,71,36,NA,71,34,23,NA,28,NA,68,NA,22,61,50,2,39,NA,21,43,71,71,71,71,61,64,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2004,NA,4,27,34,7,6,10,15,12,NA,46,1,51,NA,21,11,65,8,NA,18,17,20,19,NA,61,NA,43,16,NA,64,5,24,38,NA,23,60,14,NA,NA,39,46,NA,58,59,22,NA,29,35,NA,NA,NA,9,71,33,NA,NA,68,52,NA,NA,NA,28,NA,NA,37,NA,NA,41,68,NA,54,71,NA,68,NA,57,NA,25,NA,NA,49,NA,2,31,54,NA,71,NA,NA,NA,48,NA,NA,NA,NA,44,NA,52,45,NA,NA,NA,63,NA,NA,50,26,NA,42,NA,32,65,40,NA,NA,3,29,NA,13,35,NA,NA,NA,NA,NA,NA,NA,71,65,61,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2008,64,6,64,30,10,5,4,60,21,NA,34,2,37,NA,20,19,51,9,NA,11,22,14,56,NA,44,NA,72,23,NA,47,8,27,35,NA,16,47,18,NA,NA,72,81,NA,46,36,42,NA,52,15,53,NA,NA,7,47,42,NA,NA,82,68,72,NA,NA,17,NA,NA,68,NA,72,13,57,53,53,33,NA,60,NA,31,NA,31,NA,NA,38,68,1,44,47,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,59,NA,82,57,72,NA,NA,39,NA,62,40,24,NA,25,72,28,NA,29,82,NA,3,26,NA,12,63,NA,NA,64,NA,NA,NA,72,NA,NA,NA,NA,82,82,72,64,72,68,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2012,41,8,NA,30,7,6,3,76,10,NA,33,1,64,NA,27,16,57,9,NA,13,34,17,37,NA,60,NA,20,22,NA,65,11,14,42,NA,23,69,31,NA,NA,NA,56,NA,48,39,46,NA,12,18,NA,NA,65,5,42,60,NA,NA,50,50,NA,NA,NA,24,NA,NA,79,NA,76,29,NA,36,79,58,50,38,NA,21,NA,59,NA,NA,NA,50,2,48,47,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,26,NA,NA,35,65,NA,76,42,NA,65,32,28,NA,19,NA,40,79,25,NA,NA,4,63,NA,15,75,NA,79,NA,NA,79,NA,79,NA,NA,NA,NA,79,NA,NA,42,NA,79,NA,50,69,69,69,50,69,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2016,63,10,78,28,7,5,2,26,12,NA,24,1,35,NA,20,18,67,9,NA,11,74,14,29,NA,78,NA,30,13,NA,78,6,19,27,NA,33,78,47,NA,NA,NA,75,69,NA,61,41,NA,25,16,NA,NA,54,8,78,66,NA,NA,62,51,NA,NA,NA,44,NA,NA,78,NA,54,15,78,75,NA,67,NA,23,69,34,NA,35,NA,NA,NA,63,3,50,78,51,NA,NA,NA,NA,46,NA,NA,NA,NA,17,51,77,65,60,NA,69,45,NA,42,39,40,69,43,NA,38,NA,22,NA,NA,4,37,NA,31,21,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,78,NA,NA,NA,32,NA,54,NA,48,NA,NA,NA,69,NA,NA,54,54,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2020,39,6,53,25,8,9,4,36,15,NA,24,1,29,NA,11,14,48,10,NA,7,20,22,23,NA,85,NA,52,12,NA,59,3,13,72,NA,17,56,46,NA,NA,NA,54,50,59,84,35,NA,27,21,NA,NA,63,16,NA,30,NA,NA,46,42,NA,NA,NA,56,86,NA,63,NA,NA,19,74,58,NA,71,36,66,NA,NA,63,59,NA,NA,NA,NA,2,34,68,86,86,NA,NA,NA,55,NA,NA,NA,NA,26,NA,39,77,74,77,41,31,NA,69,67,45,NA,18,38,33,49,83,86,NA,NA,50,NA,44,32,NA,86,70,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,77,86,NA,NA,86,NA,NA,59,74,42,86,77,5,72,77,NA,NA,NA,NA,NA,NA,,
2024,19,4,36,29,5,10,7,51,14,NA,48,1,25,NA,12,32,71,9,NA,6,18,15,16,NA,NA,NA,44,20,NA,NA,3,11,52,NA,42,50,23,NA,NA,55,52,37,NA,65,64,NA,21,44,74,84,80,8,NA,26,NA,NA,NA,NA,NA,62,NA,47,NA,NA,60,NA,84,17,NA,52,NA,74,55,66,NA,68,NA,44,NA,NA,NA,39,2,35,59,NA,NA,84,NA,NA,39,NA,NA,NA,NA,30,NA,41,70,80,NA,84,34,NA,66,30,NA,NA,28,49,24,37,43,72,NA,NA,84,NA,22,13,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,79,NA,33,55,74,NA,80,60,NA,74,74,73,NA,NA,NA,NA,NA,80,84,84,62,84,55,,